section_id,section_text,word_id,concept(sub),relation,obj,question,answer
3,"So the wanderer turned his steps to the loft, which was at the top of the storehouse, and there he found the wooden chest, so old that it looked as if it were dropping to pieces.

'What use is this old thing to me?' he said to himself. 'Oh, well, it will serve to light a fire at which I can warm myself; so things might be worse after all.'

Placing the chest on his back, the man, whose name was Jose, set out for his inn, and, borrowing a hatchet, began to chop up the box. In doing so he discovered a secret drawer, and in it lay a paper. He opened the paper, not knowing what it might contain, and was astonished to find that it was the acknowledgment of a large debt that was owing to his father. Putting the precious writing in his pocket, he hastily inquired of the landlord where he could find the man whose name was written inside, and he ran out at once in search of him.",157,debt,is a,when_borrow_money,What is being in debt like?,When you're in debt you have to borrow money from someone because you don't have any.
4,"The debtor proved to be an old miser, who lived at the other end of the village. He had hoped for many months that the paper he had written had been lost or destroyed, and, indeed, when he saw it, was very unwilling to pay what he owed. However, the stranger threatened to drag him before the king, and when the miser saw that there was no help for it he counted out the coins one by one. The stranger picked them up and put them in his pocket, and went back to his inn feeling that he was now a rich man.

A few weeks after this he was walking through the streets of the nearest town, when he met a poor woman crying bitterly. He stopped and asked her what was the matter, and she answered between her sobs that her husband was dying, and, to make matters worse, a creditor whom he could not pay was anxious to have him taken to prison.",2,prove,has subevent,confirm,How do you prove that you are capable of achieving something?,You have to confirm that you are capable.
4,"The debtor proved to be an old miser, who lived at the other end of the village. He had hoped for many months that the paper he had written had been lost or destroyed, and, indeed, when he saw it, was very unwilling to pay what he owed. However, the stranger threatened to drag him before the king, and when the miser saw that there was no help for it he counted out the coins one by one. The stranger picked them up and put them in his pocket, and went back to his inn feeling that he was now a rich man.

A few weeks after this he was walking through the streets of the nearest town, when he met a poor woman crying bitterly. He stopped and asked her what was the matter, and she answered between her sobs that her husband was dying, and, to make matters worse, a creditor whom he could not pay was anxious to have him taken to prison.",106,feel,causes,walk_in_rain,"When someone feels upset, what can it cause?",It can cause them to walk in the rain.
4,"The debtor proved to be an old miser, who lived at the other end of the village. He had hoped for many months that the paper he had written had been lost or destroyed, and, indeed, when he saw it, was very unwilling to pay what he owed. However, the stranger threatened to drag him before the king, and when the miser saw that there was no help for it he counted out the coins one by one. The stranger picked them up and put them in his pocket, and went back to his inn feeling that he was now a rich man.

A few weeks after this he was walking through the streets of the nearest town, when he met a poor woman crying bitterly. He stopped and asked her what was the matter, and she answered between her sobs that her husband was dying, and, to make matters worse, a creditor whom he could not pay was anxious to have him taken to prison.",167,bad,is the antonym of,good,What is the opposite of good?,Bad.
5,"'Comfort yourself,' said the stranger kindly; 'they shall neither send your husband to prison nor sell your goods. I will not only pay his debts but, if he dies, the cost of his burial also. And now go home, and nurse him as well as you can.'

And so she did; but, in spite of her care, the husband died, and was buried by the stranger. But everything cost more than he expected, and when all was paid he found that only three gold pieces were left.

'What am I to do now?' said he to himself. 'I think I had better go to court, and enter into the service of the king.'",39,burial,is part of,gravesite,What is a burial part of?,It is part of a gravesite.
6,"At first he was only a servant, who carried the king the water for his bath, and saw that his bed was made in a particular fashion. But he did his duties so well that his master soon took notice of him, and in a short time he rose to be a gentleman of the bedchamber.

Now, when this happened the younger brother had spent all the money he had inherited, and did not know how to make any for himself. He then bethought him of the king's favourite, and went whining to the palace to beg that his brother, whom he had so ill-used, would give him his protection, and find him a place. The elder, who was always ready to help everyone spoke to the king on his behalf, and the next day the young man took up is work at court.",101,whine,has subevent,complain,What do people do when they whine?,They start to complain.
6,"At first he was only a servant, who carried the king the water for his bath, and saw that his bed was made in a particular fashion. But he did his duties so well that his master soon took notice of him, and in a short time he rose to be a gentleman of the bedchamber.

Now, when this happened the younger brother had spent all the money he had inherited, and did not know how to make any for himself. He then bethought him of the king's favourite, and went whining to the palace to beg that his brother, whom he had so ill-used, would give him his protection, and find him a place. The elder, who was always ready to help everyone spoke to the king on his behalf, and the next day the young man took up is work at court.",121,protection,is a,security,How do you protect someone?,You secure them.
6,"At first he was only a servant, who carried the king the water for his bath, and saw that his bed was made in a particular fashion. But he did his duties so well that his master soon took notice of him, and in a short time he rose to be a gentleman of the bedchamber.

Now, when this happened the younger brother had spent all the money he had inherited, and did not know how to make any for himself. He then bethought him of the king's favourite, and went whining to the palace to beg that his brother, whom he had so ill-used, would give him his protection, and find him a place. The elder, who was always ready to help everyone spoke to the king on his behalf, and the next day the young man took up is work at court.",34,duty,is a,work,What is duty referred to?,Duty can be referred to work.
7,"Unfortunately, the new-comer was by nature spiteful and envious, and could not bear anyone to have better luck than himself. By dint of spying through keyholes and listening at doors, he learned that the king, old and ugly though he was, had fallen in love with the Princess Bella-Flor, who would have nothing to say to him, and had hidden herself in some mountain castle, no one knew where.

'That will do nicely,' thought the scoundrel, rubbing his hands. 'It will be quite easy to get the king to send my brother in search of her, and if he returns without finding her, his head will be the forfeit. Either way, he will be out of MY path.'

So he went at once to the Lord High Chamberlain and craved an audience of the king, to whom he declared he wished to tell some news of the highest importance. The king admitted him into the presence chamber without delay, and bade him state what he had to say, and to be quick about it.",26,spy,has subevent,monitor,What are you doing when you spy on someone?,You are secretly monitoring them.
7,"Unfortunately, the new-comer was by nature spiteful and envious, and could not bear anyone to have better luck than himself. By dint of spying through keyholes and listening at doors, he learned that the king, old and ugly though he was, had fallen in love with the Princess Bella-Flor, who would have nothing to say to him, and had hidden herself in some mountain castle, no one knew where.

'That will do nicely,' thought the scoundrel, rubbing his hands. 'It will be quite easy to get the king to send my brother in search of her, and if he returns without finding her, his head will be the forfeit. Either way, he will be out of MY path.'

So he went at once to the Lord High Chamberlain and craved an audience of the king, to whom he declared he wished to tell some news of the highest importance. The king admitted him into the presence chamber without delay, and bade him state what he had to say, and to be quick about it.",35,learn,has subevent,have_open_mind,What kind of mindset do you need to learn?,You need to have an open mindset.
7,"Unfortunately, the new-comer was by nature spiteful and envious, and could not bear anyone to have better luck than himself. By dint of spying through keyholes and listening at doors, he learned that the king, old and ugly though he was, had fallen in love with the Princess Bella-Flor, who would have nothing to say to him, and had hidden herself in some mountain castle, no one knew where.

'That will do nicely,' thought the scoundrel, rubbing his hands. 'It will be quite easy to get the king to send my brother in search of her, and if he returns without finding her, his head will be the forfeit. Either way, he will be out of MY path.'

So he went at once to the Lord High Chamberlain and craved an audience of the king, to whom he declared he wished to tell some news of the highest importance. The king admitted him into the presence chamber without delay, and bade him state what he had to say, and to be quick about it.",85,thought,is capable of,answer_questions,What do you need to do before answering a question?,You need to think before answering a question.
8,"'Oh, sire! the Princess Bella-Flor-' answered the man, and then stopped as if afraid.

'What of the Princess Bella-Flor?' asked the king impatiently.

'I have heard-it is whispered at court-that your majesty desires to know where she lies in hiding.'

'I would give half my kingdom to the man who will bring her to me,' cried the king, eagerly. 'Speak on, knave; has a bird of the air revealed to you the secret?'

'It is not I, but my brother, who knows,' replied the traitor; 'if your majesty would ask him-' But before the words were out of his mouth the king had struck a blow with his sceptre on a golden plate that hung on the wall.

'Order Jose to appear before me instantly,' he shouted to the servant who ran to obey his orders, so great was the noise his majesty had made; and when Jose entered the hall, wondering what in the world could be the matter, the king was nearly dumb from rage and excitement.

'Bring me the Princess Bella-Flor this moment,' stammered he, 'for if you return without her I will have you drowned!' And without another word he left the hall, leaving Jose staring with surprise and horror.

'How can I find the Princess Bella-Flor when I have never even seen her?' thought he. 'But it is no use staying here, for I shall only be put to death.' And he walked slowly to the stables to choose himself a horse.",86,reveal,has subevent,show,What are you doing when you reveal something to someone?,You are showing something to someone.
9,"There were rows upon rows of fine beasts with their names written in gold above their stalls, and Jose was looking uncertainly from one to the other, wondering which he should choose, when an old white horse turned its head and signed to him to approach.

'Take me,' it said in a gentle whisper, 'and all will go well.'

Jose still felt so bewildered with the mission that the king had given him that he forgot to be astonished at hearing a horse talk. Mechanically he laid his hand on the bridle and led the white horse out of the stable. He was about to mount on his back, when the animal spoke again:

'Pick up those three loaves of bread which you see there, and put them in your pocket.'

Jose did as he was told, and being in a great hurry to get away, asked no questions, but swung himself into the saddle.",48,approach,has subevent,come,What does someone do when they approach you?,They come towards you.
9,"There were rows upon rows of fine beasts with their names written in gold above their stalls, and Jose was looking uncertainly from one to the other, wondering which he should choose, when an old white horse turned its head and signed to him to approach.

'Take me,' it said in a gentle whisper, 'and all will go well.'

Jose still felt so bewildered with the mission that the king had given him that he forgot to be astonished at hearing a horse talk. Mechanically he laid his hand on the bridle and led the white horse out of the stable. He was about to mount on his back, when the animal spoke again:

'Pick up those three loaves of bread which you see there, and put them in your pocket.'

Jose did as he was told, and being in a great hurry to get away, asked no questions, but swung himself into the saddle.",75,mission,is a,assignment,What is your goal when you are on a mission?,Your goal is to reach or achieve your assignment.
10,"They rode far without meeting any adventures, but at length they came to an ant-hill, and the horse stopped.

'Crumble those three loaves for the ants,' he said. But Jose hesitated.

'Why, we may want them ourselves!' answered he.

'Never mind that; give them to the ants all the same. Do not lose a chance of helping others.' And when the loaves lay in crumbs on the road, the horse galloped on.

By-and-by they entered a rocky pass between two mountains, and here they saw an eagle which had been caught in a hunter's net.

'Get down and cut the meshes of the net, and set the poor bird free,' said the horse.

'But it will take so long,' objected Jose, 'and we may miss the princess.'

'Never mind that; do not lose a chance of helping others,' answered the horse. And when the meshes were cut, and the eagle was free, the horse galloped on.",6,adventure,is a,new_and_exciting,What is it like to be on an adventure?,Being on a adventure is new and exciting.
10,"They rode far without meeting any adventures, but at length they came to an ant-hill, and the horse stopped.

'Crumble those three loaves for the ants,' he said. But Jose hesitated.

'Why, we may want them ourselves!' answered he.

'Never mind that; give them to the ants all the same. Do not lose a chance of helping others.' And when the loaves lay in crumbs on the road, the horse galloped on.

By-and-by they entered a rocky pass between two mountains, and here they saw an eagle which had been caught in a hunter's net.

'Get down and cut the meshes of the net, and set the poor bird free,' said the horse.

'But it will take so long,' objected Jose, 'and we may miss the princess.'

'Never mind that; do not lose a chance of helping others,' answered the horse. And when the meshes were cut, and the eagle was free, the horse galloped on.",69,help,causes,give_assistance,How can you help others?,You can give assistance to others.
10,"They rode far without meeting any adventures, but at length they came to an ant-hill, and the horse stopped.

'Crumble those three loaves for the ants,' he said. But Jose hesitated.

'Why, we may want them ourselves!' answered he.

'Never mind that; give them to the ants all the same. Do not lose a chance of helping others.' And when the loaves lay in crumbs on the road, the horse galloped on.

By-and-by they entered a rocky pass between two mountains, and here they saw an eagle which had been caught in a hunter's net.

'Get down and cut the meshes of the net, and set the poor bird free,' said the horse.

'But it will take so long,' objected Jose, 'and we may miss the princess.'

'Never mind that; do not lose a chance of helping others,' answered the horse. And when the meshes were cut, and the eagle was free, the horse galloped on.",153,princess,is a,female_person,What do you call a pretty female person?,A princess.
11,"The had ridden many miles, and at last they came to a river, where they beheld a little fish lying gasping on the sand, and the horse said:

'Do you see that little fish? It will die if you do not put it back in the water.'

'But, really, we shall never find the Princess Bella-Flor if we waste our time like this!' cried Jose.

'We never waste time when we are helping others,' answered the horse. And soon the little fish was swimming happily away.

A little while after they reached a castle, which was built in the middle of a very thick wood, and right in front was the Princess Bella-Flor feeding her hens.

'Now listen,' said the horse. 'I am going to give all sorts of little hops and skips, which will amuse the Princess Bella-Flor. Then she will tell you that she would like to ride a little way, and you must help her to mount. When she is seated I shall begin to neigh and kick, and you must say that I have never carried a woman before, and that you had better get up behind so as to be able to manage me. Once on my back we will go like the wind to the king's palace.'",107,reach,has subevent,travel,What does it mean when you have reach you destination?,"It means through traveling, you have arrived at your destination."
12,"Jose did exactly as the horse told him, and everything fell out as the animal prophesied; so that it was not until they were galloping breathlessly towards the palace that the princess knew that she was taken captive. She said nothing, however, but quietly opened her apron which contained the bran for the chickens, and in a moment it lay scattered on the ground.

'Oh, I have let fall my bran!' cried she; 'please get down and pick it up for me.' But Jose only answered:

'We shall find plenty of bran where we are going.' And the horse galloped on.

They were now passing through a forest, and the princess took out her handkerchief and threw it upwards, so that it stuck in one of the topmost branches of a tree.

'Dear me; how stupid! I have let my handkerchief blow away,' said she. 'Will you climb up and get it for me?' But Jose answered:

'We shall find plenty of handkerchiefs where we are going.' And the horse galloped on.

After the wood they reached a river, and the princess slipped a ring off her finger and let it roll into the water.

'How careless of me,' gasped she, beginning to sob. 'I have lost my favourite ring; DO stop for a moment and look if you can see it.' But Jose answered:

'You will find plenty of rings where you are going.' And the horse galloped on.",66,scatter,is a,spread,What does it look like when something is scattered?,It is spread all around the place.
12,"Jose did exactly as the horse told him, and everything fell out as the animal prophesied; so that it was not until they were galloping breathlessly towards the palace that the princess knew that she was taken captive. She said nothing, however, but quietly opened her apron which contained the bran for the chickens, and in a moment it lay scattered on the ground.

'Oh, I have let fall my bran!' cried she; 'please get down and pick it up for me.' But Jose only answered:

'We shall find plenty of bran where we are going.' And the horse galloped on.

They were now passing through a forest, and the princess took out her handkerchief and threw it upwards, so that it stuck in one of the topmost branches of a tree.

'Dear me; how stupid! I have let my handkerchief blow away,' said she. 'Will you climb up and get it for me?' But Jose answered:

'We shall find plenty of handkerchiefs where we are going.' And the horse galloped on.

After the wood they reached a river, and the princess slipped a ring off her finger and let it roll into the water.

'How careless of me,' gasped she, beginning to sob. 'I have lost my favourite ring; DO stop for a moment and look if you can see it.' But Jose answered:

'You will find plenty of rings where you are going.' And the horse galloped on.",103,plenty,is a,abundance,What is it like to have plenty of something?,It means you have an abundance of it.
13,"At last they entered the palace gates, and the king's heart bounded with joy at beholding his beloved Princess Bella-Flor. But the princess brushed him aside as if he had been a fly, and locked herself into the nearest room, which she would not open for all his entreaties.

'Bring me the three things I lost on the way, and perhaps I may think about it,' was all she would say. And, in despair, the king was driven to take counsel of Jose.

'There is no remedy that I can see,' said his majesty, 'but that you, who know where they are, should go and bring them back. And if you return without them I will have you drowned.'",3,enter,is the antonym of,exit,What is the opposite of enter?,Exit.
13,"At last they entered the palace gates, and the king's heart bounded with joy at beholding his beloved Princess Bella-Flor. But the princess brushed him aside as if he had been a fly, and locked herself into the nearest room, which she would not open for all his entreaties.

'Bring me the three things I lost on the way, and perhaps I may think about it,' was all she would say. And, in despair, the king was driven to take counsel of Jose.

'There is no remedy that I can see,' said his majesty, 'but that you, who know where they are, should go and bring them back. And if you return without them I will have you drowned.'",38,lock,has subevent,hold,What are you doing when you lock someone in a room?,You are holding them in a spot so then can't get out.
14,"Poor Jose was much troubled at these words. He thought that he had done all that was required of him, and that his life was safe. However, he bowed low, and went out to consult his friend the horse.

'Do not vex yourself,' said the horse, when he had heard the story; 'jump up, and we will go and look for the things.' And Jose mounted at once.

They rode on till they came to the ant-hill, and then the horse asked:

'Would you like to have the bran?'

'What is the use of liking?' answered Jose.

'Well, call the ants, and tell them to fetch it for you; and, if some of it has been scattered by the wind, to bring in its stead the grains that were in the cakes you gave them.' Jose listened in surprise. He did not much believe in the horse's plan; but he could not think of anything better, so he called to the ants, and bade them collect the bran as fast as they could.",39,consult,has subevent,ask,How do you consult someone?,You ask them about certain information.
14,"Poor Jose was much troubled at these words. He thought that he had done all that was required of him, and that his life was safe. However, he bowed low, and went out to consult his friend the horse.

'Do not vex yourself,' said the horse, when he had heard the story; 'jump up, and we will go and look for the things.' And Jose mounted at once.

They rode on till they came to the ant-hill, and then the horse asked:

'Would you like to have the bran?'

'What is the use of liking?' answered Jose.

'Well, call the ants, and tell them to fetch it for you; and, if some of it has been scattered by the wind, to bring in its stead the grains that were in the cakes you gave them.' Jose listened in surprise. He did not much believe in the horse's plan; but he could not think of anything better, so he called to the ants, and bade them collect the bran as fast as they could.",164,listen,has subevent,focus,What are you suppose to do when you are listening to somone?,You focus on what they are saying.
14,"Poor Jose was much troubled at these words. He thought that he had done all that was required of him, and that his life was safe. However, he bowed low, and went out to consult his friend the horse.

'Do not vex yourself,' said the horse, when he had heard the story; 'jump up, and we will go and look for the things.' And Jose mounted at once.

They rode on till they came to the ant-hill, and then the horse asked:

'Would you like to have the bran?'

'What is the use of liking?' answered Jose.

'Well, call the ants, and tell them to fetch it for you; and, if some of it has been scattered by the wind, to bring in its stead the grains that were in the cakes you gave them.' Jose listened in surprise. He did not much believe in the horse's plan; but he could not think of anything better, so he called to the ants, and bade them collect the bran as fast as they could.",202,fast,is the antonym of,slow,What is the opposite of fast?,Slow.
15,"Then he saw under a tree and waited, while his horse cropped the green turf.

'Look there!' said the animal, suddenly raising its head; and Jose looked behind him and saw a little mountain of bran, which he put into a bag that was hung over his saddle.

'Good deeds bear fruit sooner or later,' observed the horse; 'but mount again, as we have far to go.'

When they arrived at the tree, they saw the handkerchief fluttering like a flag from the topmost branch, and Jose's spirits sank again.

'How am I to get that handkerchief?' cried he; 'why I should need Jacob's ladder!' But the horse answered:

'Do not be frightened; call to the eagle you set free from the net, he will bring it to you.'

So Jose called to the eagle, and the eagle flew to the top of the tree and brought back the handkerchief in its beak. Jose thanked him, and vaulting on his horse they rode on to the river.

A great deal of rain had fallen in the night, and the river, instead of being clear as it was before, was dark and troubled.",65,observe,has subevent,watch,What is it like to observe something?,You are watching what they're doing.
15,"Then he saw under a tree and waited, while his horse cropped the green turf.

'Look there!' said the animal, suddenly raising its head; and Jose looked behind him and saw a little mountain of bran, which he put into a bag that was hung over his saddle.

'Good deeds bear fruit sooner or later,' observed the horse; 'but mount again, as we have far to go.'

When they arrived at the tree, they saw the handkerchief fluttering like a flag from the topmost branch, and Jose's spirits sank again.

'How am I to get that handkerchief?' cried he; 'why I should need Jacob's ladder!' But the horse answered:

'Do not be frightened; call to the eagle you set free from the net, he will bring it to you.'

So Jose called to the eagle, and the eagle flew to the top of the tree and brought back the handkerchief in its beak. Jose thanked him, and vaulting on his horse they rode on to the river.

A great deal of rain had fallen in the night, and the river, instead of being clear as it was before, was dark and troubled.",95,flag,has subevent,sign,What is a flag?,It is a sign that used to symbolize something.
15,"Then he saw under a tree and waited, while his horse cropped the green turf.

'Look there!' said the animal, suddenly raising its head; and Jose looked behind him and saw a little mountain of bran, which he put into a bag that was hung over his saddle.

'Good deeds bear fruit sooner or later,' observed the horse; 'but mount again, as we have far to go.'

When they arrived at the tree, they saw the handkerchief fluttering like a flag from the topmost branch, and Jose's spirits sank again.

'How am I to get that handkerchief?' cried he; 'why I should need Jacob's ladder!' But the horse answered:

'Do not be frightened; call to the eagle you set free from the net, he will bring it to you.'

So Jose called to the eagle, and the eagle flew to the top of the tree and brought back the handkerchief in its beak. Jose thanked him, and vaulting on his horse they rode on to the river.

A great deal of rain had fallen in the night, and the river, instead of being clear as it was before, was dark and troubled.",218,clear,is the antonym of,cloudy,What is the opposite of clear?,Cloudy.
16,"'How am I to fetch the ring from the bottom of this river when I do not know exactly where it was dropped, and cannot even see it?' asked Jose. But the horse answered: 'Do not be frightened; call the little fish whose life you saved, and she will bring it to you.'

So he called to the fish, and the fish dived to the bottom and slipped behind big stones, and moved little ones with its tail till it found the ring, and brought it to Jose in its mouth.

Well pleased with all he had done, Jose returned to the palace; but when the king took the precious objects to Bella-Flor, she declared that she would never open her door till the bandit who had carried her off had been fried in oil.

'I am very sorry,' said the king to Jose, 'I really would rather not; but you see I have no choice.'

While the oil was being heated in the great caldron, Jose went to the stables to inquire of his friend the horse if there was no way for him to escape.",4,fetch,is a,action,What is fetch?,Fetch is an action of getting something.
16,"'How am I to fetch the ring from the bottom of this river when I do not know exactly where it was dropped, and cannot even see it?' asked Jose. But the horse answered: 'Do not be frightened; call the little fish whose life you saved, and she will bring it to you.'

So he called to the fish, and the fish dived to the bottom and slipped behind big stones, and moved little ones with its tail till it found the ring, and brought it to Jose in its mouth.

Well pleased with all he had done, Jose returned to the palace; but when the king took the precious objects to Bella-Flor, she declared that she would never open her door till the bandit who had carried her off had been fried in oil.

'I am very sorry,' said the king to Jose, 'I really would rather not; but you see I have no choice.'

While the oil was being heated in the great caldron, Jose went to the stables to inquire of his friend the horse if there was no way for him to escape.",52,save,has subevent,prevent,How can you save lives?,You can prevent certain events from happening.
16,"'How am I to fetch the ring from the bottom of this river when I do not know exactly where it was dropped, and cannot even see it?' asked Jose. But the horse answered: 'Do not be frightened; call the little fish whose life you saved, and she will bring it to you.'

So he called to the fish, and the fish dived to the bottom and slipped behind big stones, and moved little ones with its tail till it found the ring, and brought it to Jose in its mouth.

Well pleased with all he had done, Jose returned to the palace; but when the king took the precious objects to Bella-Flor, she declared that she would never open her door till the bandit who had carried her off had been fried in oil.

'I am very sorry,' said the king to Jose, 'I really would rather not; but you see I have no choice.'

While the oil was being heated in the great caldron, Jose went to the stables to inquire of his friend the horse if there was no way for him to escape.",179,choice,is a,decision_making,What does making a choice require you to do?,To make a decision.
17,"'Do not be frightened,' said the horse. 'Get on my back, and I will gallop till my whole body is wet with perspiration, then rub it all over your skin, and no matter how hot the oil may be you will never feel it.'

Jose did not ask any more questions, but did as the horse bade him; and men wondered at his cheerful face as they lowered him into the caldron of boiling oil. He was left there till Bella-Flor cried that he must be cooked enough. Then out came a youth so young and handsome, that everyone fell in love with him, and Bella-Flor most of all.

As for the old king, he saw that he had lost the game; and in despair he flung himself into the caldron, and was fried instead of Jose. Then Jose was proclaimed king, on condition that he married Bella-Flor which he promised to do the next day. But first he went to the stables and sought out the horse, and said to him: 'It is to you that I owe my life and my crown. Why have you done all this for me?'

And the horse answered: 'I am the soul of that unhappy man for whom you spent all your fortune. And when I saw you in danger of death I begged that I might help you, as you had helped me. For, as I told you, Good deeds bear their own fruit!'",26,perspiration,causes,bathe,What does perspiration cause someone to do?,It causes someone to bathe.
17,"'Do not be frightened,' said the horse. 'Get on my back, and I will gallop till my whole body is wet with perspiration, then rub it all over your skin, and no matter how hot the oil may be you will never feel it.'

Jose did not ask any more questions, but did as the horse bade him; and men wondered at his cheerful face as they lowered him into the caldron of boiling oil. He was left there till Bella-Flor cried that he must be cooked enough. Then out came a youth so young and handsome, that everyone fell in love with him, and Bella-Flor most of all.

As for the old king, he saw that he had lost the game; and in despair he flung himself into the caldron, and was fried instead of Jose. Then Jose was proclaimed king, on condition that he married Bella-Flor which he promised to do the next day. But first he went to the stables and sought out the horse, and said to him: 'It is to you that I owe my life and my crown. Why have you done all this for me?'

And the horse answered: 'I am the soul of that unhappy man for whom you spent all your fortune. And when I saw you in danger of death I begged that I might help you, as you had helped me. For, as I told you, Good deeds bear their own fruit!'",73,cheerful,is the antonym of,sad,How do you feel when you are not cheerful?,You feel sad.
