section_id,section_text,word_id,concept(sub),relation,obj,question,answer
6,"The customers came in crowds every day and bought quantities, especially
the toffee customers. But there was always no money; they never paid for
as much as a pennyworth of peppermints.

But the sales were enormous, ten times as large as Tabitha Twitchit's.

As there was always no money, Ginger and Pickles were obliged to eat
their own goods.

Pickles ate biscuits and Ginger ate a dried haddock.

They ate them by candle-light after the shop was closed.",37,sale,is used for,getting_rid_of_items,What are sales used for?,Sales are used for getting rid of items.
7,"When it came to Jan. 1st there was still no money, and Pickles was unable
to buy a dog licence.

""It is very unpleasant, I am afraid of the police,"" said Pickles.

""It is your own fault for being a terrier; _I_ do not require a licence,
and neither does Kep, the Collie dog.""

""It is very uncomfortable, I am afraid I shall be summoned. I have tried
in vain to get a licence upon credit at the Post Office;"" said Pickles.
""The place is full of policemen. I met one as I was coming home.""

""Let us send in the bill again to Samuel Whiskers, Ginger, he owes 22/9
for bacon.""",26,unpleasant,is the antonym of,pleasant,What is the opposite of pleasant?,Unpleasant.
7,"When it came to Jan. 1st there was still no money, and Pickles was unable
to buy a dog licence.

""It is very unpleasant, I am afraid of the police,"" said Pickles.

""It is your own fault for being a terrier; _I_ do not require a licence,
and neither does Kep, the Collie dog.""

""It is very uncomfortable, I am afraid I shall be summoned. I have tried
in vain to get a licence upon credit at the Post Office;"" said Pickles.
""The place is full of policemen. I met one as I was coming home.""

""Let us send in the bill again to Samuel Whiskers, Ginger, he owes 22/9
for bacon.""",71,uncomfortable,causes,fiddle,When you are uncomfortable what does it cause?,It causes you to fiddle.
7,"When it came to Jan. 1st there was still no money, and Pickles was unable
to buy a dog licence.

""It is very unpleasant, I am afraid of the police,"" said Pickles.

""It is your own fault for being a terrier; _I_ do not require a licence,
and neither does Kep, the Collie dog.""

""It is very uncomfortable, I am afraid I shall be summoned. I have tried
in vain to get a licence upon credit at the Post Office;"" said Pickles.
""The place is full of policemen. I met one as I was coming home.""

""Let us send in the bill again to Samuel Whiskers, Ginger, he owes 22/9
for bacon.""",79,summon,has subevent,call,What does summon mean?,Summon means to call.
8,"""I do not believe that he intends to pay at all,"" replied Ginger.

""And I feel sure that Anna Maria pockets things--Where are all the cream
crackers?""

""You have eaten them yourself,"" replied Ginger.",4,believe,has subevent,accept,What does believe mean?,Believe means to accept.
8,"""I do not believe that he intends to pay at all,"" replied Ginger.

""And I feel sure that Anna Maria pockets things--Where are all the cream
crackers?""

""You have eaten them yourself,"" replied Ginger.",9,pay,causes,wait_for,What does pay cause?,Pay causes to wait.
9,"Ginger and Pickles retired into the back parlour.

They did accounts. They added up sums and sums, and sums.

""Samuel Whiskers has run up a bill as long as his tail; he has had an
ounce and three-quarters of snuff since October.""

""What is seven pounds of butter at 1/3, and a stick of sealing wax and
four matches?""

""Send in all the bills again to everybody 'with comp'ts,'"" replied Ginger.",30,bill,is a,program,What is a bill?,A bill is a program.
9,"Ginger and Pickles retired into the back parlour.

They did accounts. They added up sums and sums, and sums.

""Samuel Whiskers has run up a bill as long as his tail; he has had an
ounce and three-quarters of snuff since October.""

""What is seven pounds of butter at 1/3, and a stick of sealing wax and
four matches?""

""Send in all the bills again to everybody 'with comp'ts,'"" replied Ginger.",11,account,is capable of,gain_earnings_from_investment,What is an account capable of?,Gaining earnings from investment.
10,"After a time they heard a noise in the shop, as if something had been
pushed in at the door. They came out of the back parlour. There was an
envelope lying on the counter, and a policeman writing in a note-book!

Pickles nearly had a fit, he barked and he barked and made little rushes.

""Bite him, Pickles! bite him!"" spluttered Ginger behind a sugar-barrel,
""he's only a German doll!""

The policeman went on writing in his notebook; twice he put his pencil in
his mouth, and once he dipped it in the treacle.

Pickles barked till he was hoarse. But still the policeman took no notice.
He had bead eyes, and his helmet was sewed on with stitches.",16,push,is the antonym of,pop,What is the opposite of push?,Pop.
10,"After a time they heard a noise in the shop, as if something had been
pushed in at the door. They came out of the back parlour. There was an
envelope lying on the counter, and a policeman writing in a note-book!

Pickles nearly had a fit, he barked and he barked and made little rushes.

""Bite him, Pickles! bite him!"" spluttered Ginger behind a sugar-barrel,
""he's only a German doll!""

The policeman went on writing in his notebook; twice he put his pencil in
his mouth, and once he dipped it in the treacle.

Pickles barked till he was hoarse. But still the policeman took no notice.
He had bead eyes, and his helmet was sewed on with stitches.",128,notice,is the antonym of,ignore,What is the opposite of ignore?,Notice.
11,"At length on his last little rush--Pickles found that the shop was empty.
The policeman had disappeared.

But the envelope remained.

""Do you think that he has gone to fetch a real live policeman? I am afraid
it is a summons,"" said Pickles.

""No,"" replied Ginger, who had opened the envelope, ""it is the rates and
taxes, 3 pounds, 19 shillings, 11 pence 3 farthings.""

""This is the last straw,"" said Pickles, ""let us close the shop.""

They put up the shutters, and left. But they have not removed from the
neighbourhood. In fact some people wish they had gone further.",19,disappear,is the antonym of,appear,What is the opposite of appear?,Disappear.
11,"At length on his last little rush--Pickles found that the shop was empty.
The policeman had disappeared.

But the envelope remained.

""Do you think that he has gone to fetch a real live policeman? I am afraid
it is a summons,"" said Pickles.

""No,"" replied Ginger, who had opened the envelope, ""it is the rates and
taxes, 3 pounds, 19 shillings, 11 pence 3 farthings.""

""This is the last straw,"" said Pickles, ""let us close the shop.""

They put up the shutters, and left. But they have not removed from the
neighbourhood. In fact some people wish they had gone further.",127,wish,is a,desire,What is another word for desire?,Wish.
12,"Ginger is living in the warren. I do not know what occupation he pursues;
he looks stout and comfortable.

Pickles is at present a gamekeeper.

The closing of the shop caused great inconvenience. Tabitha Twitchit
immediately raised the price of everything a half-penny; and she continued
to refuse to give credit.

Of course there are the trades-men's carts--the butcher, the fish-man and
Timothy Baker.

But a person cannot live on ""seed wigs"" and sponge-cake and
butter-buns--not even when the sponge-cake is as good as Timothy's!",41,raise,causes,rise,What does a rise cause?,A raise.
12,"Ginger is living in the warren. I do not know what occupation he pursues;
he looks stout and comfortable.

Pickles is at present a gamekeeper.

The closing of the shop caused great inconvenience. Tabitha Twitchit
immediately raised the price of everything a half-penny; and she continued
to refuse to give credit.

Of course there are the trades-men's carts--the butcher, the fish-man and
Timothy Baker.

But a person cannot live on ""seed wigs"" and sponge-cake and
butter-buns--not even when the sponge-cake is as good as Timothy's!",43,price,is a,monetary_value,What is the monetary value of something?,The price of something.
12,"Ginger is living in the warren. I do not know what occupation he pursues;
he looks stout and comfortable.

Pickles is at present a gamekeeper.

The closing of the shop caused great inconvenience. Tabitha Twitchit
immediately raised the price of everything a half-penny; and she continued
to refuse to give credit.

Of course there are the trades-men's carts--the butcher, the fish-man and
Timothy Baker.

But a person cannot live on ""seed wigs"" and sponge-cake and
butter-buns--not even when the sponge-cake is as good as Timothy's!",53,refuse,is the antonym of,accept,What is the opposite of accept?,Refuse.
13,"After a time Mr. John Dormouse and his daughter began to sell peppermints
and candles.

But they did not keep ""self-fitting sixes""; and it takes five mice to
carry one seven inch candle.


Besides--the candles which they sell behave very strangely in warm
weather.

And Miss Dormouse refused to take back the ends when they were brought
back to her with complaints.

And when Mr. John Dormouse was complained to, he stayed in bed, and would
say nothing but ""very snug;"" which is not the way to carry on a retail
business.",9,begin,has subevent,act,What does it mean to begin something?,It means to act upon something.
14,"So everybody was pleased when Sally Henny Penny sent out a printed poster
to say that she was going to re-open the shop--""Henny's Opening Sale!
Grand co-operative Jumble! Penny's penny prices! Come buy, come try, come
buy!""

The poster really was most ticing.",1,everybody,is part of,family,What is everybody part of?,Everybody is part of a family.
15,"There was a rush upon the opening day. The shop was crammed with
customers, and there were crowds of mice upon the biscuit canisters.

Sally Henny Penny gets rather flustered when she tries to count out
change, and she insists on being paid cash; but she is quite harmless.

And she has laid in a remarkable assortment of bargains.

There is something to please everybody.",19,crowd,is a,group_of_people,What is a crowd?,A crowd is a group of people.
15,"There was a rush upon the opening day. The shop was crammed with
customers, and there were crowds of mice upon the biscuit canisters.

Sally Henny Penny gets rather flustered when she tries to count out
change, and she insists on being paid cash; but she is quite harmless.

And she has laid in a remarkable assortment of bargains.

There is something to please everybody.",64,bargain,is a,offering_for_sale,What happens if there is a bargain?,There is an offering for sale.
