section_id,section_text,word_id,concept(sub),relation,obj,question,answer
3,"At last he came to a tiny box, and in the tiny box was a slip of
paper--and that was all he had for his pains! At first he was much
depressed. But all at once, he saw that something was written on the
piece of paper, and on closer examination he was even able to spell
out the words, though they had a strange appearance. And he read:

""Lasse, my thrall!""",47,write,has subevent,get_pen_and_paper,What do you need to do if you want to write?,I need to get a pen and paper.
3,"At last he came to a tiny box, and in the tiny box was a slip of
paper--and that was all he had for his pains! At first he was much
depressed. But all at once, he saw that something was written on the
piece of paper, and on closer examination he was even able to spell
out the words, though they had a strange appearance. And he read:

""Lasse, my thrall!""",72,strange,causes,make_people_laugh,"When something strange happens, what does it cause?",It may cause people to laugh.
4,"No sooner had he spoken these words than something answered, close to
his ear:

""What does my master command?""

He looked around, but saw no one. That's strange, thought he, and once
more read aloud:

""Lasse, my thrall!""

And just as before came the answer:

""What does my master command?""

""If there be some one about who hears what I say, he might be kind
enough to get me a little something to eat,"" said he; and at that very
moment a table, covered with all the good things to eat that one could
imagine, was standing in the hut. He at once began to eat and drink
and did well by himself. I have never had a better meal in my life,
thought he. And when his hunger was completely satisfied, he grew
sleepy and took up his scrap of paper again.",20,master,is the antonym of,slave,What is the antonym of master?,Slave.
4,"No sooner had he spoken these words than something answered, close to
his ear:

""What does my master command?""

He looked around, but saw no one. That's strange, thought he, and once
more read aloud:

""Lasse, my thrall!""

And just as before came the answer:

""What does my master command?""

""If there be some one about who hears what I say, he might be kind
enough to get me a little something to eat,"" said he; and at that very
moment a table, covered with all the good things to eat that one could
imagine, was standing in the hut. He at once began to eat and drink
and did well by himself. I have never had a better meal in my life,
thought he. And when his hunger was completely satisfied, he grew
sleepy and took up his scrap of paper again.",21,command,has subevent,demand,What does it mean when someone commands you to do something?,They are demanding you to do something.
4,"No sooner had he spoken these words than something answered, close to
his ear:

""What does my master command?""

He looked around, but saw no one. That's strange, thought he, and once
more read aloud:

""Lasse, my thrall!""

And just as before came the answer:

""What does my master command?""

""If there be some one about who hears what I say, he might be kind
enough to get me a little something to eat,"" said he; and at that very
moment a table, covered with all the good things to eat that one could
imagine, was standing in the hut. He at once began to eat and drink
and did well by himself. I have never had a better meal in my life,
thought he. And when his hunger was completely satisfied, he grew
sleepy and took up his scrap of paper again.",119,imagine,has subevent,create_by_mental_act,What are you doing when you imagine something?,You are mentally thinking about it.
4,"No sooner had he spoken these words than something answered, close to
his ear:

""What does my master command?""

He looked around, but saw no one. That's strange, thought he, and once
more read aloud:

""Lasse, my thrall!""

And just as before came the answer:

""What does my master command?""

""If there be some one about who hears what I say, he might be kind
enough to get me a little something to eat,"" said he; and at that very
moment a table, covered with all the good things to eat that one could
imagine, was standing in the hut. He at once began to eat and drink
and did well by himself. I have never had a better meal in my life,
thought he. And when his hunger was completely satisfied, he grew
sleepy and took up his scrap of paper again.",165,sleepy,causes,yawn,What do you usually drink when you are sleepy?,You have a cup of coffee to wake yourself up.
5,"""Lasse, my thrall!""

""What does my master command?""

""Now that you have brought me food and drink, you must also bring me a
bed in which to sleep. But it must be a very fine bed,"" said he; for
as you may well imagine, his ideas were more top-lofty now that he had
eaten well. His command was at once obeyed; and a bed so fine and
handsome stood in the hut, that a king might have been glad to have
found such sleeping accommodations. Now this was all very well and
good; but the good can always be bettered, and when he had lain down,
he decided that, after all, the hut was far too wretched for such a
fine bed. He took up the scrap of paper:

""Lasse, my thrall!""

""What does my master command?""

""If you can produce such a meal, and such a bed here in the wild wood,
you must surely be able to give me a better room; for you know I am
one of those who are used to sleeping in a castle, with golden mirrors
and rugs of gold brocade and luxuries and conveniences of every kind,""
said he. And no sooner had he spoken the words, than he was lying in
the most magnificent room he had ever seen.",32,bed,is used for,lie_down,What is a bed used for?,It is used for you to lie down when you are tired.
5,"""Lasse, my thrall!""

""What does my master command?""

""Now that you have brought me food and drink, you must also bring me a
bed in which to sleep. But it must be a very fine bed,"" said he; for
as you may well imagine, his ideas were more top-lofty now that he had
eaten well. His command was at once obeyed; and a bed so fine and
handsome stood in the hut, that a king might have been glad to have
found such sleeping accommodations. Now this was all very well and
good; but the good can always be bettered, and when he had lain down,
he decided that, after all, the hut was far too wretched for such a
fine bed. He took up the scrap of paper:

""Lasse, my thrall!""

""What does my master command?""

""If you can produce such a meal, and such a bed here in the wild wood,
you must surely be able to give me a better room; for you know I am
one of those who are used to sleeping in a castle, with golden mirrors
and rugs of gold brocade and luxuries and conveniences of every kind,""
said he. And no sooner had he spoken the words, than he was lying in
the most magnificent room he had ever seen.",128,decide,has subevent,determine,What are you doing when you decide something?,You are determining your decision.
5,"""Lasse, my thrall!""

""What does my master command?""

""Now that you have brought me food and drink, you must also bring me a
bed in which to sleep. But it must be a very fine bed,"" said he; for
as you may well imagine, his ideas were more top-lofty now that he had
eaten well. His command was at once obeyed; and a bed so fine and
handsome stood in the hut, that a king might have been glad to have
found such sleeping accommodations. Now this was all very well and
good; but the good can always be bettered, and when he had lain down,
he decided that, after all, the hut was far too wretched for such a
fine bed. He took up the scrap of paper:

""Lasse, my thrall!""

""What does my master command?""

""If you can produce such a meal, and such a bed here in the wild wood,
you must surely be able to give me a better room; for you know I am
one of those who are used to sleeping in a castle, with golden mirrors
and rugs of gold brocade and luxuries and conveniences of every kind,""
said he. And no sooner had he spoken the words, than he was lying in
the most magnificent room he had ever seen.",173,produce,has subevent,make,What happens to something if it is produced?,It is made.
6,"Now matters were arranged to suit him, and he was quite content as he
turned his face to the wall and closed his eyes.

But the room he had slept in was not the end of his magnificence. When
he woke the following morning and looked around, he saw that he had
been sleeping in a great castle. There was one room after another, and
wherever he went walls and ceilings were covered with ornaments and
decorations of every kind, all glittering so splendidly when the rays
of the sun fell on them that he had to put his hand to his eyes; for
wherever he looked everything sparkled with gold and silver. Then he
glanced out of the window and first began to realize how really
beautiful everything was. Gone were the fir-trees and juniper bushes,
and in their place showed the loveliest garden one might wish to see,
filled with beautiful trees and roses of every variety, in bush and
tree form. But there was not a human being in sight, not even a cat.
Yet he found it quite natural that everything should be so fine, and
that he should once more have become a great lord.",3,arrange,has subevent,organize,What does it mean to arrange something?,It means you are organizing something.
6,"Now matters were arranged to suit him, and he was quite content as he
turned his face to the wall and closed his eyes.

But the room he had slept in was not the end of his magnificence. When
he woke the following morning and looked around, he saw that he had
been sleeping in a great castle. There was one room after another, and
wherever he went walls and ceilings were covered with ornaments and
decorations of every kind, all glittering so splendidly when the rays
of the sun fell on them that he had to put his hand to his eyes; for
wherever he looked everything sparkled with gold and silver. Then he
glanced out of the window and first began to realize how really
beautiful everything was. Gone were the fir-trees and juniper bushes,
and in their place showed the loveliest garden one might wish to see,
filled with beautiful trees and roses of every variety, in bush and
tree form. But there was not a human being in sight, not even a cat.
Yet he found it quite natural that everything should be so fine, and
that he should once more have become a great lord.",39,magnificence,is a,elegance,What is magnificence?,It is an elegance.
6,"Now matters were arranged to suit him, and he was quite content as he
turned his face to the wall and closed his eyes.

But the room he had slept in was not the end of his magnificence. When
he woke the following morning and looked around, he saw that he had
been sleeping in a great castle. There was one room after another, and
wherever he went walls and ceilings were covered with ornaments and
decorations of every kind, all glittering so splendidly when the rays
of the sun fell on them that he had to put his hand to his eyes; for
wherever he looked everything sparkled with gold and silver. Then he
glanced out of the window and first began to realize how really
beautiful everything was. Gone were the fir-trees and juniper bushes,
and in their place showed the loveliest garden one might wish to see,
filled with beautiful trees and roses of every variety, in bush and
tree form. But there was not a human being in sight, not even a cat.
Yet he found it quite natural that everything should be so fine, and
that he should once more have become a great lord.",88,glitter,is a,gleam,What can glitter cause?,It can cause something to gleam.
6,"Now matters were arranged to suit him, and he was quite content as he
turned his face to the wall and closed his eyes.

But the room he had slept in was not the end of his magnificence. When
he woke the following morning and looked around, he saw that he had
been sleeping in a great castle. There was one room after another, and
wherever he went walls and ceilings were covered with ornaments and
decorations of every kind, all glittering so splendidly when the rays
of the sun fell on them that he had to put his hand to his eyes; for
wherever he looked everything sparkled with gold and silver. Then he
glanced out of the window and first began to realize how really
beautiful everything was. Gone were the fir-trees and juniper bushes,
and in their place showed the loveliest garden one might wish to see,
filled with beautiful trees and roses of every variety, in bush and
tree form. But there was not a human being in sight, not even a cat.
Yet he found it quite natural that everything should be so fine, and
that he should once more have become a great lord.",124,glance,has subevent,look,What is glance?,Glance is when you look briefly at something.
7,"He took up the scrap of paper:

""Lasse, my thrall!""

""What does my master command?""

""Now that you have provided me with food and a castle in which to
dwell, I am going to stay here, because it suits me,"" said he, ""but I
cannot live here all alone in this fashion. I must have serving-men
and serving-maids, at my command."" And so it was. Servants and lackeys
and maids and serving-women of every description arrived, and some of
them bowed and others courtseyed, and now the duke really began to
feel content.",4,scrap,is a,piece,What is a scrap of paper?,A scrap of paper is a piece of paper.
7,"He took up the scrap of paper:

""Lasse, my thrall!""

""What does my master command?""

""Now that you have provided me with food and a castle in which to
dwell, I am going to stay here, because it suits me,"" said he, ""but I
cannot live here all alone in this fashion. I must have serving-men
and serving-maids, at my command."" And so it was. Servants and lackeys
and maids and serving-women of every description arrived, and some of
them bowed and others courtseyed, and now the duke really began to
feel content.",28,provide,has subevent,support,What is it like to provide for someone?,You supporting someone through your acts.
7,"He took up the scrap of paper:

""Lasse, my thrall!""

""What does my master command?""

""Now that you have provided me with food and a castle in which to
dwell, I am going to stay here, because it suits me,"" said he, ""but I
cannot live here all alone in this fashion. I must have serving-men
and serving-maids, at my command."" And so it was. Servants and lackeys
and maids and serving-women of every description arrived, and some of
them bowed and others courtseyed, and now the duke really began to
feel content.",102,bow,is a,gesture,What is a bow considered?,A gesture.
8,"Now it happened that another great castle lay on the opposite side of
the forest, in which dwelt a king who owned the forest, and many broad
acres of field and meadow round about. And when the king came and
happened to look out of his window, he saw the new castle, on whose
roof the golden weathercocks were swinging to and fro, from time to
time, shining in his eyes.

""This is very strange,"" thought he, and sent for his courtiers. They
came without delay, bowing and scraping.",33,meadow,is at location of,countryside,Where can we usually see meadows?,We can usually see meadows in the countryside.
8,"Now it happened that another great castle lay on the opposite side of
the forest, in which dwelt a king who owned the forest, and many broad
acres of field and meadow round about. And when the king came and
happened to look out of his window, he saw the new castle, on whose
roof the golden weathercocks were swinging to and fro, from time to
time, shining in his eyes.

""This is very strange,"" thought he, and sent for his courtiers. They
came without delay, bowing and scraping.",98,delay,has subevent,wait,What is it like to have a delay?,When something is postponed leading you to wait.
9,"""Do you see the castle yonder?"" said the king.

Their eyes grew as large as saucers and they looked.

Yes, indeed, they saw the castle.

""Who has dared to build such a castle on my ground?""

The courtiers bowed and scraped, but did not know. So the king sent
for his soldiers. They came tramping in and presented arms.

""Send out all my soldiers and horsemen,"" said the king, ""tear down the
castle instantly, hang whoever built it, and see to this at once.""",38,build,has subevent,create,What is build refer to?,Creating something.
9,"""Do you see the castle yonder?"" said the king.

Their eyes grew as large as saucers and they looked.

Yes, indeed, they saw the castle.

""Who has dared to build such a castle on my ground?""

The courtiers bowed and scraped, but did not know. So the king sent
for his soldiers. They came tramping in and presented arms.

""Send out all my soldiers and horsemen,"" said the king, ""tear down the
castle instantly, hang whoever built it, and see to this at once.""",64,soldier,is used for,protecting_country,What does a country need soldiers for?,A country needs soldiers for protecting it.
10,"The soldiers assembled in the greatest haste and set forth. The
drummers beat their drums and the trumpeters blew their trumpets, and
the other musicians practiced their art, each in his own way; so that
the duke heard them long before they came in sight. But this was not
the first time he had heard music of this sort, and he knew what it
meant, so once more he took up the scrap of paper:

""Lasse, my thrall!""

""What does my master command?""

""There are soldiers coming,"" said he, ""and now you must provide me
with soldiers and horsemen until I have twice as many as the folk on
the other side of the forest. And sabers and pistols and muskets and
cannon, and all that goes with them--but you must be quick about it!""",26,musician,is a,performer,What do we usually call a music performer?,We usually call a music performer a musician.
10,"The soldiers assembled in the greatest haste and set forth. The
drummers beat their drums and the trumpeters blew their trumpets, and
the other musicians practiced their art, each in his own way; so that
the duke heard them long before they came in sight. But this was not
the first time he had heard music of this sort, and he knew what it
meant, so once more he took up the scrap of paper:

""Lasse, my thrall!""

""What does my master command?""

""There are soldiers coming,"" said he, ""and now you must provide me
with soldiers and horsemen until I have twice as many as the folk on
the other side of the forest. And sabers and pistols and muskets and
cannon, and all that goes with them--but you must be quick about it!""",27,practice,has subevent,work,How can you practice?,You repeat the work to improve your skill.
10,"The soldiers assembled in the greatest haste and set forth. The
drummers beat their drums and the trumpeters blew their trumpets, and
the other musicians practiced their art, each in his own way; so that
the duke heard them long before they came in sight. But this was not
the first time he had heard music of this sort, and he knew what it
meant, so once more he took up the scrap of paper:

""Lasse, my thrall!""

""What does my master command?""

""There are soldiers coming,"" said he, ""and now you must provide me
with soldiers and horsemen until I have twice as many as the folk on
the other side of the forest. And sabers and pistols and muskets and
cannon, and all that goes with them--but you must be quick about it!""",156,quick,is the antonym of,slow,What is the opposite of quick?,Slow.
11,"Quick it was, and when the duke looked out there was a countless host
of soldiers drawn up around the castle.

When the king's people arrived, they stopped and did not dare advance.
But the duke was by no means shy. He went at once to the king's
captain and asked him what he wanted.",36,advance,has subevent,better,Why is it better to be advance?,So your status is better than others.
11,"Quick it was, and when the duke looked out there was a countless host
of soldiers drawn up around the castle.

When the king's people arrived, they stopped and did not dare advance.
But the duke was by no means shy. He went at once to the king's
captain and asked him what he wanted.",54,captain,is a,leader,What is a captain?,A captain is a leader of a group.
12,"The captain repeated his instructions.

""They will not gain you anything,"" said the duke. ""You can see how
many soldiers I have, and if the king chooses to listen to me, we can
agree to become friends, I will aid him against all his enemies, and
what we undertake will succeed."" The captain was pleased with this
proposal, so the duke invited him to the castle, together with all his
officers, and his soldiers were given a swallow or two of something
wet and plenty to eat along with it. But while the duke and the
officers were eating and drinking, there was more or less talk, and
the duke learned that the king had a daughter, as yet unmarried and so
lovely that her like had never been seen. And the more they brought
the king's officers to eat, the stronger they inclined to the opinion
that the king's daughter would make a good wife for the duke. And as
they talked about it, the duke himself began to think it over. The
worst of it was, said the officers, that she was very haughty, and
never even deigned to look at a man. But the duke only laughed. ""If it
be no worse than that,"" he said, ""it is a trouble that may be cured.""",4,instruction,is part of,program,What are instructions needed for?,Instructions are needed for programming.
12,"The captain repeated his instructions.

""They will not gain you anything,"" said the duke. ""You can see how
many soldiers I have, and if the king chooses to listen to me, we can
agree to become friends, I will aid him against all his enemies, and
what we undertake will succeed."" The captain was pleased with this
proposal, so the duke invited him to the castle, together with all his
officers, and his soldiers were given a swallow or two of something
wet and plenty to eat along with it. But while the duke and the
officers were eating and drinking, there was more or less talk, and
the duke learned that the king had a daughter, as yet unmarried and so
lovely that her like had never been seen. And the more they brought
the king's officers to eat, the stronger they inclined to the opinion
that the king's daughter would make a good wife for the duke. And as
they talked about it, the duke himself began to think it over. The
worst of it was, said the officers, that she was very haughty, and
never even deigned to look at a man. But the duke only laughed. ""If it
be no worse than that,"" he said, ""it is a trouble that may be cured.""",10,gain,has subevent,increase,What is weight gain?,Weight gain is when you increase in weight.
12,"The captain repeated his instructions.

""They will not gain you anything,"" said the duke. ""You can see how
many soldiers I have, and if the king chooses to listen to me, we can
agree to become friends, I will aid him against all his enemies, and
what we undertake will succeed."" The captain was pleased with this
proposal, so the duke invited him to the castle, together with all his
officers, and his soldiers were given a swallow or two of something
wet and plenty to eat along with it. But while the duke and the
officers were eating and drinking, there was more or less talk, and
the duke learned that the king had a daughter, as yet unmarried and so
lovely that her like had never been seen. And the more they brought
the king's officers to eat, the stronger they inclined to the opinion
that the king's daughter would make a good wife for the duke. And as
they talked about it, the duke himself began to think it over. The
worst of it was, said the officers, that she was very haughty, and
never even deigned to look at a man. But the duke only laughed. ""If it
be no worse than that,"" he said, ""it is a trouble that may be cured.""",48,aid,is a,activity,What is it like to aid someone?,You are providing help activity to someone.
13,"When at last the soldiers had stowed away as much as they could hold,
they shouted hurrah until they woke the echoes in the hills, and
marched away. One may imagine what a fine parade march it was, for
some of them had grown a little loose-jointed in the knees. The duke
charged them to carry his greetings to the king, and say that he would
soon pay him a visit.",6,stow,has subevent,pack,What does it mean to stow?,You are packing something away.
13,"When at last the soldiers had stowed away as much as they could hold,
they shouted hurrah until they woke the echoes in the hills, and
marched away. One may imagine what a fine parade march it was, for
some of them had grown a little loose-jointed in the knees. The duke
charged them to carry his greetings to the king, and say that he would
soon pay him a visit.",16,shout,has subevent,talk,What is it like to shout?,When you shout you are talking very loud.
13,"When at last the soldiers had stowed away as much as they could hold,
they shouted hurrah until they woke the echoes in the hills, and
marched away. One may imagine what a fine parade march it was, for
some of them had grown a little loose-jointed in the knees. The duke
charged them to carry his greetings to the king, and say that he would
soon pay him a visit.",37,parade,has subevent,march,What is parade?,Parade is when you march.
14,"When the duke was alone once more, he began to think of the princess
again, and whether she were really as beautiful as the soldiers had
said. He decided he would like to find out for himself. Since so many
strange things had happened that day, it was quite possible, thought
he.",26,soldier,is capable of,fire_gun,What can a soldier do with guns?,A soldier can fire guns.
14,"When the duke was alone once more, he began to think of the princess
again, and whether she were really as beautiful as the soldiers had
said. He decided he would like to find out for himself. Since so many
strange things had happened that day, it was quite possible, thought
he.",54,possible,is the antonym of,impossible,What is the opposite of possible?,Impossible.
15,"""Lasse, my thrall!""

""What does my master command?""

""Only that you bring the king's daughter here, as soon as she has
fallen asleep,"" said he. ""But mind that she does not wake up, either
on her way here, or on her way back."" And before long there lay the
princess on the bed. She was sleeping soundly, and looked charming as
she lay there asleep. One had to admit that she was as sweet as sugar.
The duke walked all around her; but she appeared just as beautiful
from one side as from the other, and the more the duke looked at her,
the better she pleased him.

""Lasse, my thrall!""

""What does my master command?""

""Now you must take the princess home again,"" said he, ""because now I
know what she looks like and to-morrow I shall sue for her hand.""",19,bring,has subevent,transmit,What are you doing when you bring something to someone?,You are transmitting something.
15,"""Lasse, my thrall!""

""What does my master command?""

""Only that you bring the king's daughter here, as soon as she has
fallen asleep,"" said he. ""But mind that she does not wake up, either
on her way here, or on her way back."" And before long there lay the
princess on the bed. She was sleeping soundly, and looked charming as
she lay there asleep. One had to admit that she was as sweet as sugar.
The duke walked all around her; but she appeared just as beautiful
from one side as from the other, and the more the duke looked at her,
the better she pleased him.

""Lasse, my thrall!""

""What does my master command?""

""Now you must take the princess home again,"" said he, ""because now I
know what she looks like and to-morrow I shall sue for her hand.""",74,sleep,has subevent,dream,What happens when you sleep heavily?,You start dreaming when you sleep heavily.
15,"""Lasse, my thrall!""

""What does my master command?""

""Only that you bring the king's daughter here, as soon as she has
fallen asleep,"" said he. ""But mind that she does not wake up, either
on her way here, or on her way back."" And before long there lay the
princess on the bed. She was sleeping soundly, and looked charming as
she lay there asleep. One had to admit that she was as sweet as sugar.
The duke walked all around her; but she appeared just as beautiful
from one side as from the other, and the more the duke looked at her,
the better she pleased him.

""Lasse, my thrall!""

""What does my master command?""

""Now you must take the princess home again,"" said he, ""because now I
know what she looks like and to-morrow I shall sue for her hand.""",99,duke,is a,aristocrat,What is a duke?,"A duke is an aristocrat, a male ruler of a duchy."
16,"The following morning the king stepped to the window. ""Now I shall not
have to see that castle across the way,"" he thought to himself. But
the evil one must have had a hand in the matter--there stood the
castle just as before, and the sun was shining brightly on its roof,
and the weather-vanes were sending beams into his eyes.",32,evil,causes,kill,What does evilness cause?,It can cause someone to kill another person.
16,"The following morning the king stepped to the window. ""Now I shall not
have to see that castle across the way,"" he thought to himself. But
the evil one must have had a hand in the matter--there stood the
castle just as before, and the sun was shining brightly on its roof,
and the weather-vanes were sending beams into his eyes.",46,castle,is a,large_building,What is a castle?,A castle is a large building owned usually by a king or nobleman.
17,"The king once more fell into a rage, and shouted for all his people,
who hurried to him with more than usual rapidity. The courtiers bowed
and scraped and the soldiers marched in parade step and presented
arms.

""Do you see that castle there?"" roared the king.

They stretched their necks, their eyes grew large as saucers and they
looked.",7,rage,is a,desire,What can rage cause?,It can cause some people to kill others.
17,"The king once more fell into a rage, and shouted for all his people,
who hurried to him with more than usual rapidity. The courtiers bowed
and scraped and the soldiers marched in parade step and presented
arms.

""Do you see that castle there?"" roared the king.

They stretched their necks, their eyes grew large as saucers and they
looked.",34,march,has subevent,walk,What is it like to march?,When you march you are walking formally.
