section_id,section_text,word_id,concept(sub),relation,obj,question,answer
6,"'Will you tell us a story?' said the sultana; 'one that is thoughtful and instructive?'

'But something that we can laugh at,' said the sultan.

'Oh, certainly,' he replied, and began: 'Now, listen attentively. There was once a box of matches which lay between a tinder-box and an old iron pot, and they told the story of their youth.'",74,youth,is a,time_period,What period is considered youth?,A period of being young.
7,"""We used to be on the green fir-boughs. Every morning and evening we had diamond-tea, which was the dew, and the whole day long we had sunshine, and the little birds used to tell us stories. We were very rich, because the other trees only dressed in summer, but we had green dresses in summer and in winter. Then the woodcutter came, and our family was split up. We have now the task of making light for the lowest people. That is why we grand people are in the kitchen.""

""My fate was quite different,"" said the iron pot, near which the matches lay.

""Since I came into the world I have been many times scoured, and have cooked much. My only pleasure is to have a good chat with my companions when I am lying nice and clean in my place after dinner.""

""Now you are talking too fast,"" spluttered the fire.

""Yes, let us decide who is the grandest!"" said the matches.

""No, I don't like talking about myself,"" said the pot.",54,summer,is a,season,What season is the hottest?,Summer.
7,"""We used to be on the green fir-boughs. Every morning and evening we had diamond-tea, which was the dew, and the whole day long we had sunshine, and the little birds used to tell us stories. We were very rich, because the other trees only dressed in summer, but we had green dresses in summer and in winter. Then the woodcutter came, and our family was split up. We have now the task of making light for the lowest people. That is why we grand people are in the kitchen.""

""My fate was quite different,"" said the iron pot, near which the matches lay.

""Since I came into the world I have been many times scoured, and have cooked much. My only pleasure is to have a good chat with my companions when I am lying nice and clean in my place after dinner.""

""Now you are talking too fast,"" spluttered the fire.

""Yes, let us decide who is the grandest!"" said the matches.

""No, I don't like talking about myself,"" said the pot.",153,companion,is a,friend,Who can be referred as a companion?,A friend who accompanies you.
7,"""We used to be on the green fir-boughs. Every morning and evening we had diamond-tea, which was the dew, and the whole day long we had sunshine, and the little birds used to tell us stories. We were very rich, because the other trees only dressed in summer, but we had green dresses in summer and in winter. Then the woodcutter came, and our family was split up. We have now the task of making light for the lowest people. That is why we grand people are in the kitchen.""

""My fate was quite different,"" said the iron pot, near which the matches lay.

""Since I came into the world I have been many times scoured, and have cooked much. My only pleasure is to have a good chat with my companions when I am lying nice and clean in my place after dinner.""

""Now you are talking too fast,"" spluttered the fire.

""Yes, let us decide who is the grandest!"" said the matches.

""No, I don't like talking about myself,"" said the pot.",174,fast,is the antonym of,slow,What is the opposite of fast?,Slow.
8,"""Let us arrange an evening's entertainment. I will tell the story of my life.""

""On the Baltic by the Danish shore-""

""What a beautiful beginning!"" said all the plates. ""That's a story that will please us all.""

And the end was just as good as the beginning. All the plates clattered for joy.

""Now I will dance,"" said the tongs, and she danced. Oh! how high she could kick!

The old chair-cover in the corner split when he saw her.

The urn would have sung but she said she had a cold; she could not sing unless she boiled.

In the window was an old quill pen. There was nothing remarkable about her except that she had been dipped too deeply into the ink. But she was very proud of that.

""If the urn will not sing,"" said she, ""outside the door hangs a nightingale in a cage who will sing.""",3,arrange,has subevent,organize,How can you arrange an event?,Organize what is needed in the event.
8,"""Let us arrange an evening's entertainment. I will tell the story of my life.""

""On the Baltic by the Danish shore-""

""What a beautiful beginning!"" said all the plates. ""That's a story that will please us all.""

And the end was just as good as the beginning. All the plates clattered for joy.

""Now I will dance,"" said the tongs, and she danced. Oh! how high she could kick!

The old chair-cover in the corner split when he saw her.

The urn would have sung but she said she had a cold; she could not sing unless she boiled.

In the window was an old quill pen. There was nothing remarkable about her except that she had been dipped too deeply into the ink. But she was very proud of that.

""If the urn will not sing,"" said she, ""outside the door hangs a nightingale in a cage who will sing.""",66,clatter,is a,noise,What is clattering?,Clattering is a rattling noise.
8,"""Let us arrange an evening's entertainment. I will tell the story of my life.""

""On the Baltic by the Danish shore-""

""What a beautiful beginning!"" said all the plates. ""That's a story that will please us all.""

And the end was just as good as the beginning. All the plates clattered for joy.

""Now I will dance,"" said the tongs, and she danced. Oh! how high she could kick!

The old chair-cover in the corner split when he saw her.

The urn would have sung but she said she had a cold; she could not sing unless she boiled.

In the window was an old quill pen. There was nothing remarkable about her except that she had been dipped too deeply into the ink. But she was very proud of that.

""If the urn will not sing,"" said she, ""outside the door hangs a nightingale in a cage who will sing.""",157,proud,is the antonym of,ashamed,What is the opposite of proud?,Ashamed.
9,"""I don't think it's proper,"" said the kettle, ""that such a foreign bird should be heard.""

""Oh, let us have some acting,"" said everyone. ""Do let us!""

Suddenly the door opened and the maid came in. Everyone was quite quiet. There was not a sound. But each pot knew what he might have done, and how grand he was.

The maid took the matches and lit the fire with them. How they spluttered and flamed, to be sure! ""Now everyone can see,"" they thought, ""that we are the grandest! How we sparkle! What a light-""

'But here they were burnt out.'

'That was a delightful story!' said the sultana. 'I quite feel myself in the kitchen with the matches. Yes, now you shall marry our daughter.'

'Yes, indeed,' said the sultan, 'you shall marry our daughter on Monday.' And they treated the young man as one of the family.",18,foreign,is the antonym of,domestic,What is the opposite of foreign?,Domestic.
9,"""I don't think it's proper,"" said the kettle, ""that such a foreign bird should be heard.""

""Oh, let us have some acting,"" said everyone. ""Do let us!""

Suddenly the door opened and the maid came in. Everyone was quite quiet. There was not a sound. But each pot knew what he might have done, and how grand he was.

The maid took the matches and lit the fire with them. How they spluttered and flamed, to be sure! ""Now everyone can see,"" they thought, ""that we are the grandest! How we sparkle! What a light-""

'But here they were burnt out.'

'That was a delightful story!' said the sultana. 'I quite feel myself in the kitchen with the matches. Yes, now you shall marry our daughter.'

'Yes, indeed,' said the sultan, 'you shall marry our daughter on Monday.' And they treated the young man as one of the family.",44,suddenly,is the antonym of,unsuddenly,What happens if something happens suddenly?,When something happens quickly without warning.
9,"""I don't think it's proper,"" said the kettle, ""that such a foreign bird should be heard.""

""Oh, let us have some acting,"" said everyone. ""Do let us!""

Suddenly the door opened and the maid came in. Everyone was quite quiet. There was not a sound. But each pot knew what he might have done, and how grand he was.

The maid took the matches and lit the fire with them. How they spluttered and flamed, to be sure! ""Now everyone can see,"" they thought, ""that we are the grandest! How we sparkle! What a light-""

'But here they were burnt out.'

'That was a delightful story!' said the sultana. 'I quite feel myself in the kitchen with the matches. Yes, now you shall marry our daughter.'

'Yes, indeed,' said the sultan, 'you shall marry our daughter on Monday.' And they treated the young man as one of the family.",180,marry,causes,propose_to_woman,What happens before a couple gets married?,The man has to propose to the women.
10,"The wedding was arranged, and the night before the whole town was illuminated.

Biscuits and gingerbreads were thrown among the people, the street boys stood on tiptoe crying hurrahs and whistling through their fingers. It was all splendid.

'Now I must also give them a treat,' thought the merchant's son. And so he bought rockets, crackers, and all the kinds of fireworks you can think of, put them in his trunk, and flew up with them into the air.

Whirr-r-r, how they fizzed and blazed!",29,tiptoe,has subevent,walk,Why do people tip toe?,So they won't make loud noises when they walk.
11,"All the Turks jumped so high that their slippers flew above their heads; such a splendid glitter they had never seen before.

Now they could quite well understand that it was the god of the Turks himself who was to marry the princess.

As soon as the young merchant came down again into the wood with his trunk he thought, 'Now I will just go into the town to see how the show has taken.'

And it was quite natural that he should want to do this.

Oh! what stories the people had to tell!",97,story,is used for,telling,What can telling stories be used for?,For entertainment.
12,"Each one whom he asked had seen it differently, but they had all found it beautiful.

'I saw the Turkish god himself,' said one. 'He had eyes like glittering stars, and a beard like foaming water.'

'He flew away in a cloak of fire,' said another. They were splendid things that he heard, and the next day was to be his wedding day.",34,glitter,is a,gleam,What is it like when something is glittering?,Something is gleaming of bright sparking light.
13,"Then he went back into the wood to sit in his trunk; but what had become of it? The trunk had been burnt. A spark of the fireworks had set it alight, and the trunk was in ashes. He could no longer fly, and could never reach his bride.

She stood the whole day long on the roof and waited; perhaps she is waiting there still.

But he wandered through the world and told stories; though they are not so merry as the one he told about the matches.",41,ash,is a,tree,What are ashes?,Ashes are tree remains of a fire.
