section_id,section_text,word_id,concept(sub),relation,obj,question,each_answer
9,"The man noted all she said exactly and went. And sure enough he saw the bird's nest-it was as large as a round pavilion. Then he tied his curved sword to the poles, chopped at the tree with all his strength, laid down his poles on the ground and never looked around but ran for dear life. Suddenly he heard the roaring of a thunder-storm rising above him. When he looked up he saw a great dragon, many fathoms long and some ten feet across. His eyes gleamed like two lamps and he was spitting fire and flame from his maw. He had stretched out two feelers and was feeling along the ground. Then the man swiftly flung the loaves into the air.",106,flame,is capable of,burn_skin,What happens when you touch flames?,Flames burn you.
10,"The dragon caught them, and it took a little time before he had devoured them. But no sooner had the man gained a few steps than the dragon once more came flying after him. Then he flung him more loaves and when the loaves came to an end, he turned over his basket so that the eggs rolled over the ground. The dragon had not yet satisfied his hunger and opened his greedy jaws wide. When he suddenly caught sight of the eggs, he descended from the air, and since the eggs were scattered round about, it took some time before he had sucked them all. In the meantime the man succeeded in escaping to his home.",88,egg,is created by,chicken,What can a chicken create?,Eggs.
10,"The dragon caught them, and it took a little time before he had devoured them. But no sooner had the man gained a few steps than the dragon once more came flying after him. Then he flung him more loaves and when the loaves came to an end, he turned over his basket so that the eggs rolled over the ground. The dragon had not yet satisfied his hunger and opened his greedy jaws wide. When he suddenly caught sight of the eggs, he descended from the air, and since the eggs were scattered round about, it took some time before he had sucked them all. In the meantime the man succeeded in escaping to his home.",88,egg,is created by,chicken,Where do eggs come from?,Eggs come from chickens
11,"When he entered the door and saw his wife, he said to her, amid sobs: ""It was all I could do to escape, and I am lucky not to be in the dragon's stomach! If this sort of thing keeps up much longer I am bound to die!""

With these words he kneeled and begged his wife pitifully to save his life.

""Where is your home?"" asked his wife.",31,lucky,is the antonym of,unlucky,What is the opposite of unlucky?,Lucky.
11,"When he entered the door and saw his wife, he said to her, amid sobs: ""It was all I could do to escape, and I am lucky not to be in the dragon's stomach! If this sort of thing keeps up much longer I am bound to die!""

With these words he kneeled and begged his wife pitifully to save his life.

""Where is your home?"" asked his wife.",31,lucky,is the antonym of,unlucky,What is the opposite of lucky?,Unlucky is the opposite of lucky.
12,"""My home is about a hundred miles away from here, in the Middle Kingdom, and my old mother is still living. The only thing that worries me is that we are so poor.""

His wife said: ""I will flee with you, and we will find your mother. And waste no regrets on your poverty.""

With that she gathered up all the house held in the way of pearls and precious stones, put them in a bag and had her husband tie it around his waist. Then she also gave him an umbrella, and in the middle of the night they climbed the wall with the aid of a ladder, and stole away.",105,umbrella,is used for,protection_from_rain,What do you use to protect you from the rain?,An umbrella.
12,"""My home is about a hundred miles away from here, in the Middle Kingdom, and my old mother is still living. The only thing that worries me is that we are so poor.""

His wife said: ""I will flee with you, and we will find your mother. And waste no regrets on your poverty.""

With that she gathered up all the house held in the way of pearls and precious stones, put them in a bag and had her husband tie it around his waist. Then she also gave him an umbrella, and in the middle of the night they climbed the wall with the aid of a ladder, and stole away.",105,umbrella,is used for,protection_from_rain,What is an umbrella used for?,An umbrella is used to protect you from rain.
13,"His wife had also said to him: ""Take the umbrella on your back and run as fast as ever you can! Do not open it, and do not look around! I will follow you in secret.""

So he turned North and ran with all his might and main. He had been running for a day and a night, had covered nearly a hundred miles, and passed the boundaries of the wild people's country, when his legs gave out and he grew hungry. Before him lay a mountain village. He stopped at the village gate to rest, drew some food from his pocket and began to eat. And he looked around without being able to see his wife.

Said he to himself: ""Perhaps she has deceived me after all, and is not coming with me!""",107,gate,is at location of,fence,Where is a gate located?,In a fence.
13,"His wife had also said to him: ""Take the umbrella on your back and run as fast as ever you can! Do not open it, and do not look around! I will follow you in secret.""

So he turned North and ran with all his might and main. He had been running for a day and a night, had covered nearly a hundred miles, and passed the boundaries of the wild people's country, when his legs gave out and he grew hungry. Before him lay a mountain village. He stopped at the village gate to rest, drew some food from his pocket and began to eat. And he looked around without being able to see his wife.

Said he to himself: ""Perhaps she has deceived me after all, and is not coming with me!""",62,day,is part of,day,What color is the sky during the day?,The sky is blue during the day.
14,"After he had finished eating, he took a drink from a spring, and painfully dragged himself further. When the heat of the day was greatest a violent mountain rain suddenly began to fall. In his haste he forgot what his wife had told him and opened his umbrella. And out fell his wife upon the ground.

She reproached him: ""Once more you have not listened to my advice. Now the damage has been done!""

Quickly she told him to go to the village, and there to buy a white cock, seven black tea-cups, and half a length of red nettlecloth.",51,umbrella,is used for,keeping_dry,What do you use to keep dry?,An umbrella.
14,"After he had finished eating, he took a drink from a spring, and painfully dragged himself further. When the heat of the day was greatest a violent mountain rain suddenly began to fall. In his haste he forgot what his wife had told him and opened his umbrella. And out fell his wife upon the ground.

She reproached him: ""Once more you have not listened to my advice. Now the damage has been done!""

Quickly she told him to go to the village, and there to buy a white cock, seven black tea-cups, and half a length of red nettlecloth.",31,rain,is at location of,weather,Where does rain fall from?,Rain falls from clouds.
15,"""Do not be sparing of the silver pieces in your pocket!"" she cried after him as he went off.

He went to the village, attended to everything, and came back. The woman tore the cloth apart, made a coat of it and put it on. No sooner had they walked a few miles before they could see a red cloud rising up in the South, like a flying bird.

""That is my mother,"" said the woman.",46,coat,is used for,keeping_warm_in_winter,What do you wear to stay warm in the winter?,A coat.
15,"""Do not be sparing of the silver pieces in your pocket!"" she cried after him as he went off.

He went to the village, attended to everything, and came back. The woman tore the cloth apart, made a coat of it and put it on. No sooner had they walked a few miles before they could see a red cloud rising up in the South, like a flying bird.

""That is my mother,"" said the woman.",67,red,is a,color,What color comes after red in the rainbow?,Orange comes after red in the rainbow.
16,"In a moment the cloud was overhead. Then the woman took the black tea-cups and threw them at it. Seven she threw and seven fell to earth again. And then they could hear the mother in the cloud weeping and scolding, and thereupon the cloud disappeared.

They went on for about four hours. Then they heard a sound like the noise of silk being torn, and could see a cloud as black as ink, which was rushing up against the wind.

""Alas, that is my father!"" said the woman. ""This is a matter of life and death, for he will not let us be! Because of my love for you I will now have to disobey the holiest of laws!""",80,ink,is part of,pen,What is ink apart of?,A pen.
16,"In a moment the cloud was overhead. Then the woman took the black tea-cups and threw them at it. Seven she threw and seven fell to earth again. And then they could hear the mother in the cloud weeping and scolding, and thereupon the cloud disappeared.

They went on for about four hours. Then they heard a sound like the noise of silk being torn, and could see a cloud as black as ink, which was rushing up against the wind.

""Alas, that is my father!"" said the woman. ""This is a matter of life and death, for he will not let us be! Because of my love for you I will now have to disobey the holiest of laws!""",136,law,is a,obligatory_rule_of_conduct,What is a law?,A law is a rule.
17,"With these words she quickly seized the white cock, separated its head from its body, and flung the head into the air. At once the black cloud dissolved, and her father's body, the head severed from the trunk, fell down by the edge of the road. Then the woman wept bitterly, and when she had wept her fill they buried the corpse. Thereupon they went together to her husband's home, where they found his old mother still living. They then undid the bag of pearls and jewels, bought a piece of good ground, built a fine house, and became wealthy and respected members of the community.",95,bag,is at location of,supermarket,What do you put food in at the supermarket? ,A bag.
17,"With these words she quickly seized the white cock, separated its head from its body, and flung the head into the air. At once the black cloud dissolved, and her father's body, the head severed from the trunk, fell down by the edge of the road. Then the woman wept bitterly, and when she had wept her fill they buried the corpse. Thereupon they went together to her husband's home, where they found his old mother still living. They then undid the bag of pearls and jewels, bought a piece of good ground, built a fine house, and became wealthy and respected members of the community.",68,bury,has subevent,cover,What does bury mean?,Bury means cover something.
